Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:19.970000Z,2019-03-11T19:02:04.970000Z,-0.838913
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:24.970000Z,2019-03-11T19:02:09.970000Z,-0.833518
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:29.970000Z,2019-03-11T19:02:14.970000Z,-0.827306
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:34.970000Z,2019-03-11T19:02:19.970000Z,-0.820285
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:39.970000Z,2019-03-11T19:02:24.970000Z,-0.812460
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T04:55:44.970000Z,2019-03-11T19:02:29.970000Z,-0.803840
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:14.970000Z,2019-03-11T19:08:59.970000Z,0.806120
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:19.970000Z,2019-03-11T19:09:04.970000Z,0.815065
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:24.970000Z,2019-03-11T19:09:09.970000Z,0.823210
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:29.970000Z,2019-03-11T19:09:14.970000Z,0.830548
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:34.970000Z,2019-03-11T19:09:19.970000Z,0.837070
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:39.970000Z,2019-03-11T19:09:24.970000Z,0.842771
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:44.970000Z,2019-03-11T19:09:29.970000Z,0.847645
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:49.970000Z,2019-03-11T19:09:34.970000Z,0.851688
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:54.970000Z,2019-03-11T19:09:39.970000Z,0.854896
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:02:59.970000Z,2019-03-11T19:09:44.970000Z,0.857265
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:04.970000Z,2019-03-11T19:09:49.970000Z,0.858795
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:09.970000Z,2019-03-11T19:09:54.970000Z,0.859482
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:14.970000Z,2019-03-11T19:09:59.970000Z,0.859327
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:19.970000Z,2019-03-11T19:10:04.970000Z,0.858331
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:24.970000Z,2019-03-11T19:10:09.970000Z,0.856494
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:29.970000Z,2019-03-11T19:10:14.970000Z,0.853818
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:34.970000Z,2019-03-11T19:10:19.970000Z,0.850306
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:39.970000Z,2019-03-11T19:10:24.970000Z,0.845961
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:44.970000Z,2019-03-11T19:10:29.970000Z,0.840789
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:49.970000Z,2019-03-11T19:10:34.970000Z,0.834795
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:54.970000Z,2019-03-11T19:10:39.970000Z,0.827983
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:03:59.970000Z,2019-03-11T19:10:44.970000Z,0.820363
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:04:04.970000Z,2019-03-11T19:10:49.970000Z,0.811939
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:04:09.970000Z,2019-03-11T19:10:54.970000Z,0.802723
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:10:39.970000Z,2019-03-11T19:17:24.970000Z,-0.806878
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:10:44.970000Z,2019-03-11T19:17:29.970000Z,-0.815225
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:10:49.970000Z,2019-03-11T19:17:34.970000Z,-0.822771
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:10:54.970000Z,2019-03-11T19:17:39.970000Z,-0.829507
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:10:59.970000Z,2019-03-11T19:17:44.970000Z,-0.835428
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:04.970000Z,2019-03-11T19:17:49.970000Z,-0.840527
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:09.970000Z,2019-03-11T19:17:54.970000Z,-0.844801
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:14.970000Z,2019-03-11T19:17:59.970000Z,-0.848244
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:19.970000Z,2019-03-11T19:18:04.970000Z,-0.850855
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:24.970000Z,2019-03-11T19:18:09.970000Z,-0.852631
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:29.970000Z,2019-03-11T19:18:14.970000Z,-0.853571
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:34.970000Z,2019-03-11T19:18:19.970000Z,-0.853673
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:39.970000Z,2019-03-11T19:18:24.970000Z,-0.852939
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:44.970000Z,2019-03-11T19:18:29.970000Z,-0.851369
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:49.970000Z,2019-03-11T19:18:34.970000Z,-0.848965
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:54.970000Z,2019-03-11T19:18:39.970000Z,-0.845730
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:11:59.970000Z,2019-03-11T19:18:44.970000Z,-0.841668
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:04.970000Z,2019-03-11T19:18:49.970000Z,-0.836782
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:09.970000Z,2019-03-11T19:18:54.970000Z,-0.831079
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:14.970000Z,2019-03-11T19:18:59.970000Z,-0.824564
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:19.970000Z,2019-03-11T19:19:04.970000Z,-0.817243
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:24.970000Z,2019-03-11T19:19:09.970000Z,-0.809124
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:12:29.970000Z,2019-03-11T19:19:14.970000Z,-0.800216
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:09.970000Z,2019-03-11T19:25:54.970000Z,0.804122
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:14.970000Z,2019-03-11T19:25:59.970000Z,0.810966
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:19.970000Z,2019-03-11T19:26:04.970000Z,0.817011
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:24.970000Z,2019-03-11T19:26:09.970000Z,0.822252
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:29.970000Z,2019-03-11T19:26:14.970000Z,0.826683
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:34.970000Z,2019-03-11T19:26:19.970000Z,0.830301
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:39.970000Z,2019-03-11T19:26:24.970000Z,0.833102
